---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 27-4  4.171e+02  [-67 4.349e-04 1.707e-04 7.693e-02]  !2550 0 96!
 ST 27-5  4.206e+02  [-89 3.469e-05 1.362e-05 1.177e-01]  !2550 0 96!
 ST 28-1  4.241e+02  [0 1.000e+00 4.384e-01 5.314e-03]  !2550 0 96!
 ST 28-2  4.277e+02  [-21 8.849e-02 3.880e-02 1.147e-02]  !2550 0 96!
 ST 28-3  4.314e+02  [-50 3.042e-03 1.334e-03 3.965e-02]  !2550 0 95!
 ST 28-4  4.349e+02  [-74 1.869e-04 8.196e-05 8.244e-02]  !2550 0 96!
 ST 29-1  4.393e+02  [0 1.000e+00 7.512e-01 2.189e-03]  !2550 0 95!
 ST 29-2  4.430e+02  [-28 3.970e-02 2.982e-02 1.052e-02]  !2550 0 96!
 ST 29-3  4.475e+02  [-59 1.117e-03 8.395e-04 4.050e-02]  !2550 0 95!
 ST 29-4  4.513e+02  [-83 6.984e-05 5.246e-05 7.092e-02]  !2550 0 95!
 ST 30-1  4.555e+02  [0 1.000e+00 4.084e-01 6.115e-03]  !2550 0 96!
 ST 30-2  4.590e+02  [-18 1.256e-01 5.129e-02 9.840e-03]  !2550 0 96!
 ST 30-3  4.629e+02  [-48 3.851e-03 1.573e-03 3.919e-02]  !2550 0 96!
 ST 30-4  4.672e+02  [-70 2.861e-04 1.168e-04 7.019e-02]  !2550 0 96!
 ST 30-5  4.709e+02  [-93 2.046e-05 8.354e-06 1.327e-01]  !2550 0 94!
 ST 31-1  4.743e+02  [0 1.000e+00 4.242e-01 6.081e-03]  !2550 0 96!
 ST 31-2  4.778e+02  [-21 8.732e-02 3.704e-02 1.422e-02]  !2550 0 94!
 ST 31-3  4.813e+02  [-48 3.562e-03 1.511e-03 4.648e-02]  !2550 0 96!
 ST 31-4  4.848e+02  [-71 2.630e-04 1.116e-04 7.980e-02]  !2550 0 94!
 ST 31-5  4.883e+02  [-93 2.140e-05 9.077e-06 1.211e-01]  !2550 0 95!
 ST 32-1  4.917e+02  [0 1.000e+00 5.710e-01 4.076e-03]  !2550 0 96!
 ST 32-2  4.954e+02  [-27 4.375e-02 2.498e-02 1.812e-02]  !2550 0 96!
 ST 32-3  4.997e+02  [-53 2.131e-03 1.217e-03 4.587e-02]  !2550 0 97!
 ST 32-4  5.032e+02  [-77 1.366e-04 7.802e-05 8.294e-02]  !2550 0 96!
 ST 33-1  5.066e+02  [0 1.000e+00 4.016e-01 6.401e-03]  !2550 0 96!
 ST 33-2  5.099e+02  [-18 1.183e-01 4.749e-02 1.118e-02]  !2550 0 96!
 ST 33-3  5.133e+02  [-49 3.186e-03 1.279e-03 5.149e-02]  !2550 0 95!
 ST 33-4  5.170e+02  [-71 2.604e-04 1.046e-04 7.463e-02]  !2550 0 96!
 ST 33-5  5.205e+02  [-94 1.971e-05 7.917e-06 1.180e-01]  !2550 0 95!
 ST 34-1  5.239e+02  [0 1.000e+00 3.184e-01 7.300e-03]  !2550 0 95!
 ST 34-2  5.273e+02  [-17 1.298e-01 4.132e-02 1.093e-02]  !2550 0 94!
 ST 34-3  5.308e+02  [-48 3.920e-03 1.248e-03 4.130e-02]  !2550 0 96!
 ST 34-4  5.344e+02  [-71 2.731e-04 8.694e-05 7.079e-02]  !2550 0 96!
 ST 35-1  5.378e+02  [0 1.000e+00 6.000e-01 2.326e-03]  !2550 0 96!
 ST 35-2  5.412e+02  [-31 2.532e-02 1.519e-02 1.736e-02]  !2550 0 96!
 ST 35-3  5.447e+02  [-60 9.544e-04 5.726e-04 5.488e-02]  !2550 0 95!
 ST 35-4  5.483e+02  [-83 6.719e-05 4.031e-05 8.959e-02]  !2550 0 96!
 ST 36-1  5.517e+02  [0 1.000e+00 3.331e-01 5.887e-03]  !2550 0 96!
